DATE,STATE,PRICE RECEIVED -- $ / BU,CV (%)
2017,VERMONT,,
2017,VIRGINIA,3.96,
2017,WASHINGTON,4.05,
2017,WEST VIRGINIA,3.95,
2017,WISCONSIN,3.3,
2017,WYOMING,3.35,
2016,ALABAMA,3.63,
2016,ARIZONA,4.73,
2016,ARKANSAS,3.69,
2016,CALIFORNIA,4.69,
2016,COLORADO,3.42,
2016,DELAWARE,4.09,
2016,FLORIDA,3.93,
2016,GEORGIA,3.88,
2016,IDAHO,4.44,
2016,ILLINOIS,3.43,
2016,INDIANA,3.63,
2016,IOWA,3.3,
2016,KANSAS,3.2,
2016,KENTUCKY,3.74,
2016,LOUISIANA,3.7,
2016,MARYLAND,4.05,
2016,MICHIGAN,3.44,
2016,MINNESOTA,3.21,
2016,MISSISSIPPI,3.74,
2016,MISSOURI,3.4,
2016,MONTANA,4.15,
2016,NEBRASKA,3.32,
2016,NEW JERSEY,3.9,
2016,NEW MEXICO,3.93,
2016,NEW YORK,3.9,
2016,NORTH CAROLINA,4.07,
2016,NORTH DAKOTA,3.01,
2016,OHIO,3.61,
2016,OKLAHOMA,3.39,
2016,OREGON,4.25,
2016,PENNSYLVANIA,4.04,
2016,SOUTH CAROLINA,3.69,
2016,SOUTH DAKOTA,3.09,
2016,TENNESSEE,3.66,
2016,TEXAS,3.71,
2016,UTAH,3.87,
2016,VIRGINIA,4,
2016,WASHINGTON,4.71,
2016,WEST VIRGINIA,3.9,
2016,WISCONSIN,3.28,
2016,WYOMING,3.39,
2015,ALABAMA,3.74,
2015,ARIZONA,4.98,
2015,ARKANSAS,4.11,
2015,CALIFORNIA,4.39,
2015,COLORADO,3.69,
2015,DELAWARE,3.88,
2015,FLORIDA,3.8,
2015,GEORGIA,3.9,
2015,IDAHO,4.71,
2015,ILLINOIS,3.69,
2015,INDIANA,3.92,
2015,IOWA,3.52,
2015,KANSAS,3.69,
2015,KENTUCKY,3.88,
2015,LOUISIANA,4,
2015,MARYLAND,3.88,
2015,MICHIGAN,3.63,
2015,MINNESOTA,3.37,
2015,MISSISSIPPI,4.01,
2015,MISSOURI,3.69,
2015,MONTANA,4.01,
2015,NEBRASKA,3.57,
2015,NEW JERSEY,3.85,
2015,NEW MEXICO,4.58,
2015,NEW YORK,4.01,
2015,NORTH CAROLINA,4.32,
2015,NORTH DAKOTA,3.28,
2015,OHIO,3.89,
2015,OKLAHOMA,3.93,
2015,OREGON,4,
2015,PENNSYLVANIA,3.97,
2015,SOUTH CAROLINA,4.06,
2015,SOUTH DAKOTA,3.3,
2015,TENNESSEE,3.92,
2015,TEXAS,4.2,
2015,UTAH,4.68,
2015,VIRGINIA,4.05,
2015,WASHINGTON,4.3,
2015,WEST VIRGINIA,3.95,
2015,WISCONSIN,3.46,
2015,WYOMING,3.44,
